Location,Medium,Sample Date,Procedure Name,Nuclides/ Radiation,Result,Combined Standard Uncertainty,MDC,Unit
ALBUQUERQUE,AIR-FILTER,2013-02-8,Gross beta in air,Gross Beta,0.01538,0.00094,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-02-1,Gross beta in air,Gross Beta,0.00541,0.00037,0.00023,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-03-8,Gross beta in air,Gross Beta,0.00649,0.00042,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-11-22,Gross beta in air,Gross Beta,0.01504,0.00092,0.00014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-08-16,Gross beta in air,Gross Beta,0.01113,0.00069,0.00022,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-11-15,Gross beta in air,Gross Beta,0.0251,0.0015,0.00014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-09-6,Gross beta in air,Gross Beta,0.01413,0.00087,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-03-15,Gross beta in air,Gross Beta,0.00717,0.00046,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-01-25,Gross beta in air,Gross Beta,0.0209,0.0013,0.00022,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-11-1,Gross beta in air,Gross Beta,0.0178,0.0011,0.00013,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-03-22,Gross beta in air,Gross Beta,0.00883,0.00056,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-12-20,Gross beta in air,Gross Beta,0.0232,0.0014,0.00014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-11-8,Gross beta in air,Gross Beta,0.01409,0.00087,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-10-25,Gross beta in air,Gross Beta,0.0202,0.0012,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-10-18,Gross beta in air,Gross Beta,0.01288,0.00079,0.00014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-10-6,Gross beta in air,Gross Beta,0.00957,0.00059,0.00017,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-02-22,Gross beta in air,Gross Beta,0.00681,0.00044,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-09-27,Gross beta in air,Gross Beta,0.01049,0.00066,0.00022,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-01-11,Gross beta in air,Gross Beta,0.0361,0.0022,0.00026,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-12-1,Gross beta in air,Gross Beta,0.0177,0.0011,0.00011,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-08-9,Gross beta in air,Gross Beta,0.01135,0.00071,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-02-15,Gross beta in air,Gross Beta,0.01205,0.00076,0.00029,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-01-4,Gross beta in air,Gross Beta,0.0203,0.0013,0.00035,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-08-23,Gross beta in air,Gross Beta,0.0179,0.0011,0.00024,PCI/M3
ALBUQUERQUE,AIR-FILTER,2014-08-15,Gross beta in air,Gross Beta,0.01142,0.00071,0.00013,PCI/M3
ALBUQUERQUE,AIR-FILTER,2014-02-7,Gross beta in air,Gross Beta,0.0183,0.0011,0.00018,PCI/M3
ALBUQUERQUE,AIR-FILTER,2014-02-14,Gross beta in air,Gross Beta,0.01199,0.00074,0.00014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2014-11-7,Gross beta in air,Gross Beta,0.01556,0.00095,0.00013,PCI/M3
